Postcode,Dwelling Type,Median_Sales_Price,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2305,Strata,7600,10.3858,14.184800000000001,0.8125,2.625,2022,Q3
2594,Strata,1038,,3.9405,,3.25,2022,Q3
2067,Strata,4535,2.8596,3.2662999999999998,1.0332999999999999,0.8484999999999999,2022,Q2
2566,Strata,1845,2.075,2.7807,3.4286000000000003,2.1,2023,Q3
2065,Non Strata,9056,1.5875,1.9693,0.4194,-0.1698,2022,Q2
2470,Strata,685,1.6095,1.8394,5.5,2.25,2022,Q2
2546,Strata,1400,1.4735,1.4369,0.0,0.3,2023,Q4
2845,Total,630,0.22329999999999997,1.4231,0.875,0.15380000000000002,2022,Q1
2845,Non Strata,630,0.22329999999999997,1.4231,0.875,0.15380000000000002,2022,Q1
2669,Total,133,0.0192,1.2083,1.4,3.0,2023,Q3
2669,Non Strata,133,0.0192,1.2083,1.4,3.0,2023,Q3
2627,Total,1318,0.3381,1.1606999999999998,-0.4545,-0.07690000000000001,2022,Q1
2449,Total,700,0.6867,1.1053,0.22219999999999998,0.1,2022,Q1
2449,Non Strata,700,0.6867,1.1053,0.22219999999999998,0.1,2022,Q1
2122,Total,2040,0.29109999999999997,1.0503,-0.3529,0.30260000000000004,2024,Q1
2070,Total,2870,-0.0512,1.05,-0.0222,-0.3803,2022,Q2
2441,Total,748,-0.1273,1.0203,-0.1,0.3846,2022,Q1
2441,Non Strata,748,-0.1273,1.0203,-0.1,0.3846,2022,Q1
2251,Strata,1413,0.5826,1.0179,0.0,-0.2,2023,Q2
2067,Total,3310,0.9244,1.0061,0.48479999999999995,0.2672,2022,Q2
2627,Strata,950,0.22190000000000001,1.0021,-0.5526,-0.2273,2022,Q1
2575,Strata,1358,0.6505,0.9963,1.0,0.0,2022,Q1
2627,Non Strata,1950,0.413,0.9898,-0.3214,0.1176,2022,Q1
2481,Strata,1900,0.5292,0.9895,-0.6136,-0.5278,2022,Q1
2350,Strata,550,0.7945,0.9469,2.1667,0.0556,2023,Q1
2453,Total,753,0.7315999999999999,0.9439,0.3333,-0.25,2022,Q2
2453,Non Strata,753,0.7315999999999999,0.9439,0.3333,-0.25,2022,Q2
2032,Total,1870,0.5844,0.9373,-0.2069,-0.1321,2022,Q1
2132,Total,1818,0.1103,0.9233,-0.23809999999999998,-0.5789,2023,Q1
2549,Non Strata,1200,0.373,0.92,0.1818,-0.1333,2022,Q1
2174,Total,1198,-0.0021,0.8948,0.0909,-0.7209,2022,Q1
2193,Total,1398,0.625,0.8784000000000001,0.08199999999999999,0.0313,2023,Q3
2847,Total,493,0.20120000000000002,0.8762000000000001,0.3846,0.125,2022,Q2
2847,Non Strata,493,0.20120000000000002,0.8762000000000001,0.3846,0.125,2022,Q2
2430,Strata,575,0.4067,0.8548,0.28,0.10339999999999999,2022,Q2
2420,Total,1075,0.3961,0.8534,-0.1333,-0.2778,2023,Q2
2420,Non Strata,1075,0.3961,0.8534,-0.1333,-0.2778,2023,Q2
2118,Total,1494,0.1067,0.8523999999999999,0.2025,-0.391,2022,Q4
2652,Total,320,-0.1467,0.8286,-0.3333,-0.29410000000000003,2023,Q1
2652,Non Strata,320,-0.1467,0.8286,-0.3333,-0.29410000000000003,2023,Q1
2024,Strata,2413,0.6218,0.8187000000000001,0.6765000000000001,0.39020000000000005,2022,Q1
2048,Total,1750,0.0086,0.8088,-0.11539999999999999,-0.11539999999999999,2023,Q1
2133,Total,1235,-0.2281,0.7898999999999999,-0.0968,1.0,2024,Q1
2065,Non Strata,6500,-0.2823,0.7839,0.34090000000000004,0.22920000000000001,2022,Q3
2402,Non Strata,270,0.2414,0.7822,-0.2778,0.3,2022,Q1
2280,Strata,1100,0.7188,0.7742,0.3889,1.5,2024,Q1
2024,Total,3210,-0.0987,0.7686,0.1364,-0.18030000000000002,2022,Q4
2505,Total,1040,0.1818,0.7656999999999999,-0.07690000000000001,-0.4545,2022,Q2
2852,Total,705,0.0682,0.7515999999999999,0.0588,-0.1818,2022,Q3
2852,Non Strata,705,0.0682,0.7515999999999999,0.0588,-0.1818,2022,Q3
2489,Non Strata,1725,0.20629999999999998,0.7513,-0.5143,-0.3704,2022,Q1
2549,Total,1010,0.3134,0.7444,0.15380000000000002,-0.16670000000000001,2022,Q1
2489,Strata,950,0.1875,0.7431,0.0556,2.1667,2022,Q1
2488,Total,982,0.1217,0.7372,0.0667,-0.6596,2023,Q3
2093,Total,2553,0.3023,0.7364,0.36229999999999996,0.1325,2023,Q2
2079,Total,1655,0.0643,0.7276,-0.4167,-0.5625,2022,Q1
2032,Total,1838,0.7797,0.7254,-0.087,0.6154,2023,Q4
2701,Total,560,0.3373,0.7231000000000001,1.0,0.0667,2022,Q4
2701,Non Strata,560,0.3373,0.7231000000000001,1.0,0.0667,2022,Q4
2701,Total,663,0.711,0.7221,1.75,0.5714,2022,Q2
2701,Non Strata,663,0.711,0.7221,1.75,0.5714,2022,Q2
2316,Total,990,0.0588,0.7217,-0.12119999999999999,0.2609,2022,Q1
2464,Non Strata,1500,0.7241,0.7143,0.1364,-0.2187,2022,Q1
2829,Total,255,0.7,0.7,0.0667,-0.23809999999999998,2022,Q4
2829,Non Strata,255,0.7,0.7,0.0667,-0.23809999999999998,2022,Q4
2840,Total,174,0.0326,0.7,0.5,0.5,2022,Q2
2840,Non Strata,174,0.0326,0.7,0.5,0.5,2022,Q2
2647,Total,687,0.5267000000000001,0.6962999999999999,0.4118,0.1429,2022,Q1
2731,Strata,382,0.1058,0.6956,0.7778,1.2856999999999998,2022,Q1
2305,Strata,745,0.0863,0.6931999999999999,1.1667,0.8571,2024,Q1
2037,Strata,1315,-0.0947,0.6901999999999999,-0.4,-0.2075,2022,Q1
2118,Total,1350,0.43920000000000003,0.6875,-0.0706,-0.5031,2022,Q3
2423,Total,671,0.31620000000000004,0.6801999999999999,-0.1429,0.3333,2022,Q1
2423,Non Strata,671,0.31620000000000004,0.6801999999999999,-0.1429,0.3333,2022,Q1
2711,Non Strata,210,-0.0118,0.68,-0.3125,0.1,2022,Q3
2627,Total,1491,0.1425,0.6772,-0.0256,-0.20829999999999999,2022,Q2
2089,Non Strata,3725,0.12279999999999999,0.6556000000000001,-0.1429,0.7143,2023,Q4
2036,Total,1700,0.8640000000000001,0.6545000000000001,0.0519,-0.19,2023,Q2
2021,Strata,1275,0.2143,0.6537000000000001,-0.2564,0.381,2024,Q1
2431,Total,850,0.4407,0.6505,-0.18600000000000003,-0.1463,2022,Q1
2174,Total,1103,-0.08130000000000001,0.648,-0.2889,-0.7556999999999999,2022,Q2
2473,Total,1050,-0.2929,0.6406000000000001,1.5714,0.2,2022,Q3
2025,Strata,1903,-0.051100000000000007,0.633,0.44439999999999996,-0.3333,2022,Q2
2062,Total,2000,0.41840000000000005,0.6327,0.025,0.1714,2024,Q1
2179,Total,1190,0.0843,0.6325999999999999,0.2069,-0.39130000000000004,2022,Q2
2179,Non Strata,1190,0.0843,0.6223,0.2069,-0.386,2022,Q2
2849,Total,550,0.047599999999999996,0.6175999999999999,13.0,1.8,2022,Q2
2849,Non Strata,550,0.047599999999999996,0.6175999999999999,13.0,1.8,2022,Q2
2549,Non Strata,1325,0.5588000000000001,0.6129,-0.29410000000000003,0.0,2022,Q4
2423,Total,835,0.336,0.6058,0.22219999999999998,0.047599999999999996,2022,Q3
2423,Non Strata,835,0.336,0.6058,0.22219999999999998,0.047599999999999996,2022,Q3
2025,Strata,2503,0.6573,0.6042000000000001,-0.0833,0.15789999999999998,2023,Q3
2731,Non Strata,810,0.1739,0.604,-0.1,0.0286,2022,Q1
2258,Total,1310,0.6635,0.6024,0.125,-0.1818,2023,Q4
2671,Total,400,0.3333,0.6,0.5333,0.3529,2023,Q1
2671,Non Strata,400,0.3333,0.6,0.4,0.2353,2023,Q1
2193,Total,1230,0.5974,0.5769,-0.0833,-0.0638,2023,Q1
2546,Strata,709,0.020099999999999996,0.5756,0.3333,1.4,2023,Q2
2711,Total,213,-0.1827,0.5740999999999999,-0.2,0.0667,2022,Q2
2711,Non Strata,213,-0.1827,0.5740999999999999,-0.2,0.0667,2022,Q2
2775,Total,598,-0.2713,0.5724,0.4545,1.2856999999999998,2023,Q3
2775,Non Strata,598,-0.2713,0.5724,0.4545,1.2856999999999998,2023,Q3
2365,Total,380,0.1343,0.5670000000000001,0.4167,-0.39289999999999997,2022,Q4
2365,Non Strata,380,0.1343,0.5670000000000001,0.4167,-0.39289999999999997,2022,Q4
2866,Total,680,0.1525,0.5632,0.5,0.2857,2022,Q4
2866,Non Strata,680,0.1525,0.5632,0.5,0.2857,2022,Q4
2799,Total,528,0.0048,0.563,-0.15380000000000002,0.0,2022,Q2
2799,Non Strata,528,0.0048,0.563,-0.15380000000000002,0.0,2022,Q2
2820,Total,274,-0.10890000000000001,0.5613,-0.2593,-0.16670000000000001,2022,Q1
2820,Non Strata,274,-0.10890000000000001,0.5613,-0.2593,-0.16670000000000001,2022,Q1
