Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2000,Total,950,1300,1843,1731,126,8.33%,-14.47%,-50.00%,-37.00%,2022,Q1
2000,Strata,950,1300,1843,1731,126,0.0833,-0.1447,-0.494,-0.37,2022,Q1
2007,Total,725,930,1433,1079,39,19.54%,14.11%,-30.36%,30.00%,2022,Q1
2007,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2007,Strata,725,930,1200,1034,37,19.54%,21.97%,-33.93%,32.14%,2022,Q1
2008,Total,711,930,1378,1098,43,-9.27%,10.71%,-20.37%,-14.00%,2022,Q1
2008,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2008,Strata,688,811,1070,900,35,-7.84%,9.89%,-7.89%,-2.78%,2022,Q1
2009,Total,862,1100,2050,1427,49,-20.86%,-10.39%,-48.42%,-12.50%,2022,Q1
2009,Strata,862,1100,2050,1427,49,-0.1897,-0.1039,-0.4674,-0.125,2022,Q1
2010,Total,843,1125,1725,1352,180,-14.45%,-7.06%,-24.37%,-18.92%,2022,Q1
2010,Non Strata,1845,2165,2781,2254,36,-8.26%,11.03%,-33.33%,-29.41%,2022,Q1
2010,Strata,800,995,1343,1127,144,-7.87%,-2.45%,-21.74%,-15.79%,2022,Q1
2011,Total,713,993,1385,1245,132,-0.75%,10.46%,-41.85%,3.13%,2022,Q1
2011,Strata,713,993,1385,1245,132,0.25%,11.96%,-40.27%,6.45%,2022,Q1
2015,Total,665,820,1200,1040,84,-0.2227,-0.123,-0.0455,-0.3538,2022,Q1
2015,Non Strata,1838,2000,2198,2031,-,-3.61%,11.11%,-36.36%,-33.33%,2022,Q1
2015,Strata,650,753,964,842,70,-18.43%,-16.39%,6.06%,-35.78%,2022,Q1
2016,Total,780,1150,1520,1242,57,-23.33%,-14.81%,-21.92%,-3.39%,2022,Q1
2016,Non Strata,1505,1718,2154,1841,-,-6.40%,12.62%,-41.94%,-40.00%,2022,Q1
2016,Strata,738,924,1175,965,39,-9.71%,-12.03%,-7.14%,34.48%,2022,Q1
2017,Total,840,955,1160,1011,132,-3.54%,6.88%,-23.70%,-15.38%,2022,Q1
